date,number
12/24/2014,3218302
12/26/2014,3218819
12/28/2014,3218819
12/29/2014,3222120
12/30/2014,3222565
12/31/2014,3718001
1/2/2015,3718507
1/4/2015,3718980
1/5/2015,3718314
1/6/2015,3719350
1/7/2015,3719487
1/8/2015,3719959
1/12/2015,3718464
1/13/2015,3718477
1/14/2015,3718404
1/15/2015,3723137
1/18/2015,3723255
1/19/2015,3723230
1/20/2015,3722895
1/21/2015,3723023
1/22/2015,3725540
1/26/2015,3725685
1/29/2015,3725940
1/30/2015,3726752
1/31/2015,3729877
2/2/2015,3730723
2/3/2015,3731761
2/4/2015,3732608
2/5/2015,3730767
2/6/2015,3729873
2/8/2015,3727082
2/9/2015,3727962
2/10/2015,3728843
2/11/2015,3729519
2/12/2015,3730113
2/13/2015,3731097
2/15/2015,3732306
2/16/2015,3739187
2/17/2015,3740155
2/18/2015,3741011
2/19/2015,3741810
2/20/2015,3742394
2/22/2015,3742868
2/23/2015,3743895
2/24/2015,3744812
2/25/2015,3744970
2/26/2015,3746537
2/27/2015,3746991
2/28/2015,3749254
3/1/2015,3749715
3/2/2015,3750220
3/3/2015,3750701
3/4/2015,3751776
3/5/2015,3752453
3/6/2015,3898777
3/8/2015,3898965
3/9/2015,3899801
3/10/2015,3900943
3/11/2015,3901050
3/12/2015,3902423
3/13/2015,3922830
3/15/2015,3925356
3/16/2015,3925986
3/17/2015,3924050
3/18/2015,3924965
3/20/2015,3946446
3/22/2015,3947097
3/23/2015,3947943
3/24/2015,3948021
3/25/2015,3949047
3/26/2015,3950438
3/27/2015,3950798
3/30/2015,3950894
3/31/2015,3955234
4/1/2015,3955762
4/2/2015,3956291
4/3/2015,3956720
4/7/2015,3957990
4/8/2015,3959618
4/9/2015,3960149
4/10/2015,3977295
4/14/2015,3977538
4/30/2015,3978992
5/4/2015,3979292
5/5/2015,3979798
5/6/2015,3979125
5/7/2015,3977211
5/15/2015,3977047
5/21/2015,3978562
5/26/2015,3978687
5/28/2015,3979560
5/31/2015,3980623
6/10/2015,3971986
6/15/2015,3983335
6/17/2015,3984303
6/30/2015,3984463
7/5/2015,3982509
7/6/2015,3980572
7/9/2015,4013292
7/15/2015,4015065
7/31/2015,4015256
8/13/2015,4016227
8/15/2015,4014945
8/16/2015,4015070
8/23/2015,4014091
8/25/2015,4089023
8/29/2015,4088078
9/6/2015,4088099
9/13/2015,4087139
9/17/2015,4086760
9/28/2015,4085609
9/30/2015,4045650
10/1/2015,4048367
10/2/2015,4181658
10/4/2015,4180946
10/15/2015,4179179
10/19/2015,4180631
10/27/2015,4180180
10/31/2015,4177141
11/2/2015,4178290
11/3/2015,4287293
11/17/2015,4290161
